,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,best_step
439,c,h,h,3,4,5,h,7,c,[4]
440,0,c,c,h,h,5,6,h,c,"[0, 5]"
441,h,1,h,c,4,c,c,h,h,[4]
442,c,c,h,c,h,5,6,h,8,[6]
443,0,1,2,3,4,5,6,7,h,[4]
444,0,h,c,3,c,h,6,7,h,[6]
445,0,1,c,h,4,h,c,7,h,[4]
446,h,c,h,3,4,c,6,7,8,[4]
447,h,h,c,3,4,5,6,7,c,[5]
448,0,c,h,c,4,5,6,h,h,"[0, 4, 5, 6]"
449,0,1,2,3,c,h,6,7,h,[2]
450,0,c,h,c,h,h,6,7,8,"[0, 6, 7, 8]"
451,0,1,c,3,4,h,6,7,h,"[0, 1]"
452,0,c,2,h,h,c,h,c,8,"[0, 2, 8]"
453,0,1,h,3,h,5,6,c,8,[6]
454,h,1,2,3,c,5,c,h,8,[2]
455,0,c,c,h,c,5,6,h,h,"[0, 6]"
456,0,1,h,h,c,c,c,h,8,"[0, 1, 8]"
457,0,h,h,c,4,5,c,7,8,[0]
458,0,h,c,h,c,5,6,7,8,[6]
459,0,h,2,3,4,5,6,7,c,"[2, 4, 6]"
460,0,h,2,3,4,5,h,c,8,"[0, 2]"
461,h,h,c,h,4,5,c,7,c,"[4, 5, 7]"
462,0,1,h,3,c,h,6,c,8,[1]
463,0,1,2,3,4,5,h,c,h,[4]
464,0,h,c,3,4,5,c,h,8,[4]
465,h,c,h,3,c,c,h,h,8,[3]
466,h,1,c,h,4,c,6,c,h,"[1, 4, 6]"
467,c,1,c,3,h,5,h,h,8,[1]
468,0,1,2,c,h,c,h,7,8,[2]
469,0,h,2,c,c,5,h,7,8,[5]
470,h,1,2,c,c,5,h,h,c,[5]
471,h,c,2,h,c,5,6,7,8,[7]
472,0,1,2,3,4,h,6,7,c,"[4, 6, 7]"
473,h,1,2,c,4,5,6,h,8,[4]
474,h,c,2,3,4,5,h,h,c,[3]
475,h,1,2,3,4,5,6,c,8,[6]
476,0,h,2,3,4,5,c,h,8,[4]
477,c,1,h,c,4,5,6,7,h,[6]
478,0,h,h,c,h,5,c,7,c,"[0, 7]"
479,0,c,2,h,4,5,h,7,8,[0]
480,h,c,h,c,4,h,c,7,8,[8]
481,c,h,h,c,4,h,6,c,8,[6]
482,0,1,2,3,h,c,c,7,h,[0]
483,h,c,h,c,4,5,6,h,c,"[4, 5, 6]"
484,h,1,2,c,4,5,6,7,h,[4]
485,h,c,2,3,4,h,h,c,c,[4]
486,0,1,2,c,c,5,6,h,h,[5]
487,c,1,2,3,c,h,h,7,8,[8]
488,0,h,h,c,c,5,c,7,h,"[0, 5]"
489,h,1,c,3,c,5,6,7,h,[6]
490,c,1,h,3,4,c,h,c,h,[4]
491,0,h,2,c,h,c,h,c,h,"[0, 2]"
492,h,1,h,h,c,c,c,c,h,[1]
493,c,h,c,3,h,h,h,7,c,"[3, 7]"
494,h,h,2,3,h,c,c,7,c,"[2, 7]"
495,0,1,h,3,4,h,6,7,c,"[6, 7]"
496,h,h,c,3,4,c,c,h,h,[4]
497,c,h,c,c,c,h,h,7,h,[7]
498,0,1,2,h,4,h,6,7,c,[4]
499,0,1,2,c,h,5,c,h,8,[0]
500,0,h,2,c,4,h,6,7,8,"[2, 8]"
501,h,c,2,3,4,5,6,7,8,"[3, 4, 6, 8]"
502,0,1,2,c,4,h,h,7,8,"[2, 8]"
503,c,h,h,3,h,c,c,7,8,[3]
504,c,1,h,h,c,5,c,h,8,[8]
505,0,c,h,c,c,h,h,7,8,[7]
506,c,1,2,h,c,h,6,c,h,[1]
507,c,1,h,h,4,c,6,7,8,"[1, 4, 6, 7, 8]"
508,0,h,2,h,4,c,6,7,8,"[0, 6]"
509,c,h,c,h,c,5,h,7,8,[8]
510,c,1,c,3,h,h,h,c,h,[1]
511,h,1,2,3,h,c,6,7,8,[8]
512,h,h,c,3,4,c,6,h,8,[8]
513,0,h,2,3,h,c,h,7,c,[2]
514,0,1,2,3,4,c,6,h,8,"[4, 8]"
515,c,1,2,c,h,h,6,h,8,[6]
516,0,h,h,h,c,c,c,7,h,[0]
517,0,1,2,c,c,h,h,h,8,[8]
518,0,h,c,3,4,5,6,h,c,[5]
519,h,1,c,c,4,5,h,7,8,[5]
